fips,white,black,hispanic,asian,no_high_sch,high_sch%,some_col%,college%,unemployment,med_hh_income,med_hh_income_pct_state,rural_urban_continuum,urban_influence,metro_code,population,pop_change,nat_incr_rate,intl_migration,poverty_pct,child_poverty,ppl_per_sq_mi,majority
20115,94.7,2.5,2.3,0.2,8.4,30.3,36.2,25,3,51771,83.46392059,6,6,0,11884,-39,-2.9,5,10.7,307,13.4,R
20117,96.1,1.6,1.9,0.2,7.8,42.2,31.1,18.9,2.9,55858,90.05287933,6,6,0,9707,-8,1.9,3,9.4,277,11.2,R
20119,82.2,2.3,14.8,0.4,19.3,26.4,34,20.3,2.3,64640,104.2109985,9,10,0,4033,-65,1,7,9.7,135,4.7,R
20121,93.7,3.2,2.5,0.4,4,31.8,34.4,29.8,3.3,74428,119.9909744,1,1,1,34237,500,2.8,12,6.8,704,57,R
20123,97.2,1,1.1,0.3,5.2,30.4,38.4,26.1,2.4,51979,83.79925537,7,11,0,5979,-131,-5,2,11.1,223,9.1,R
20125,80.9,10.7,5.2,0.6,11.2,29.2,40.1,19.5,4.1,44240,71.32263184,5,8,0,31829,-262,-1.1,61,15.7,1523,55.1,R
20127,94.1,2,3.6,0.2,8.8,36.1,33.7,21.4,2.7,54775,88.3068924,8,6,0,5620,63,0.9,8,10.5,165,8.5,R
20129,76.3,2.2,19.3,1.9,16,28,38.7,17.3,2.9,56175,90.56394196,9,12,0,2587,-106,4.5,-2,11.7,104,4.4,R
20131,96.7,1.6,1.2,0.1,5.8,39.8,29,25.4,2.8,63373,102.1683731,6,6,0,10231,106,6.7,5,8.8,290,14.2,R
20133,91.7,3.2,4.2,0.5,9.2,32.5,40.1,18.1,4.6,49533,79.85587311,7,9,0,16007,-18,0.7,38,15.7,873,28.9,R
20135,91,1.5,7.400000000000001,0.10000000000000002,9.1,31.1,40.4,19.4,2.5,54727,88.22950745,9,12,0,2750,-46,-7.9,7,10.6,70,2.9,R
